Season,Episode,Topic,Label,Confidence,Topic Words
1,12,3,Breakup,0.020484243,"['im', 'boy', 'sorry', 'iim', 'gon', 'na', 'oh', 'camped', 'babbling', 'whaim']"
1,12,4,Coffee,0.503853679,"['hey', 'hello', '230', 'amnio', 'cappuccino', 'whoa', 'result', 'sigh', 'store', 'today']"
1,12,4,Food,0.247288853,"['hey', 'hello', '230', 'amnio', 'cappuccino', 'whoa', 'result', 'sigh', 'store', 'today']"
1,12,4,Alcohol,0.051685888,"['hey', 'hello', '230', 'amnio', 'cappuccino', 'whoa', 'result', 'sigh', 'store', 'today']"
1,12,4,Friendship,0.018890273,"['hey', 'hello', '230', 'amnio', 'cappuccino', 'whoa', 'result', 'sigh', 'store', 'today']"
1,13,0,Child,0.085311979,"['sorry', 'okay', 'could', 'oh', 'im', 'one', 'yeah', 'thats', 'going', 'thanks']"
1,13,0,Breakup,0.067361504,"['sorry', 'okay', 'could', 'oh', 'im', 'one', 'yeah', 'thats', 'going', 'thanks']"
1,13,0,Fight,0.057552122,"['sorry', 'okay', 'could', 'oh', 'im', 'one', 'yeah', 'thats', 'going', 'thanks']"
1,13,0,Job,0.054710537,"['sorry', 'okay', 'could', 'oh', 'im', 'one', 'yeah', 'thats', 'going', 'thanks']"
1,13,1,Fight,0.180042505,"['dad', 'maybe', 'know', 'yknow', 'im', 'always', 'like', 'mean', 'he', 'nice']"
1,13,1,Gossip,0.137193859,"['dad', 'maybe', 'know', 'yknow', 'im', 'always', 'like', 'mean', 'he', 'nice']"
1,13,1,Breakup,0.071832336,"['dad', 'maybe', 'know', 'yknow', 'im', 'always', 'like', 'mean', 'he', 'nice']"
1,13,1,Museum,0.053186364,"['dad', 'maybe', 'know', 'yknow', 'im', 'always', 'like', 'mean', 'he', 'nice']"
1,13,2,Child,0.193860903,"['joey', 'chandler', 'uh', 'rachel', 'ronni', 'tribbiani', 'phoebe', 'stay', 'go', 'oh']"
1,13,2,Job,0.168606207,"['joey', 'chandler', 'uh', 'rachel', 'ronni', 'tribbiani', 'phoebe', 'stay', 'go', 'oh']"
1,13,2,Romance,0.081363715,"['joey', 'chandler', 'uh', 'rachel', 'ronni', 'tribbiani', 'phoebe', 'stay', 'go', 'oh']"
1,13,2,Fight,0.069384754,"['joey', 'chandler', 'uh', 'rachel', 'ronni', 'tribbiani', 'phoebe', 'stay', 'go', 'oh']"
1,13,3,Roommates,0.210734561,"['hey', 'hi', 'roger', 'whatre', 'hello', 'whoah', 'dear', 'rog', 'oh', 'um']"
1,13,3,Friendship,0.184682235,"['hey', 'hi', 'roger', 'whatre', 'hello', 'whoah', 'dear', 'rog', 'oh', 'um']"
1,13,3,Romance,0.053653799,"['hey', 'hi', 'roger', 'whatre', 'hello', 'whoah', 'dear', 'rog', 'oh', 'um']"
1,13,3,Museum,0.036184855,"['hey', 'hi', 'roger', 'whatre', 'hello', 'whoah', 'dear', 'rog', 'oh', 'um']"
1,13,4,Hospital,0.294789076,"['na', 'gon', 'go', 'hotel', 'well', 'get', 'got', 'hair', 'tough', 'alright']"
1,13,4,Fight,0.083589479,"['na', 'gon', 'go', 'hotel', 'well', 'get', 'got', 'hair', 'tough', 'alright']"
1,13,4,Roommates,0.066747621,"['na', 'gon', 'go', 'hotel', 'well', 'get', 'got', 'hair', 'tough', 'alright']"
